antecedents,consequents,support,confidence,lift
"CLEANING SUPPLIES, FOOD STAPLES","BISCUITS AND COOKIES, COOKING OIL",0.013006966707485426,0.15318965051585373,5.142573029949992
"BISCUITS AND COOKIES, COOKING OIL","CLEANING SUPPLIES, FOOD STAPLES",0.013006966707485426,0.43664357197844494,5.142573029949992
"COOKING OIL, FOOD STAPLES, TEA AND SPICES","CANNED AND PACKAGED FOODS, CLEANING SUPPLIES",0.010677086916440788,0.2769120970619722,5.099415786072739
"CANNED AND PACKAGED FOODS, CLEANING SUPPLIES","COOKING OIL, FOOD STAPLES, TEA AND SPICES",0.010677086916440788,0.19662162162162164,5.099415786072739
"CLEANING SUPPLIES, COOKING OIL","CANNED AND PACKAGED FOODS, FOOD STAPLES, TEA AND SPICES",0.010677086916440788,0.24265165728580365,5.054651705323852
"CANNED AND PACKAGED FOODS, FOOD STAPLES, TEA AND SPICES","CLEANING SUPPLIES, COOKING OIL",0.010677086916440788,0.22241329893952422,5.054651705323852
"COOKING OIL, FOOD STAPLES","CANNED AND PACKAGED FOODS, CLEANING SUPPLIES, TEA AND SPICES",0.010677086916440788,0.10739988927846467,5.022983624755169
"CANNED AND PACKAGED FOODS, CLEANING SUPPLIES, TEA AND SPICES","COOKING OIL, FOOD STAPLES",0.010677086916440788,0.4993564993564994,5.022983624755169
"CANNED AND PACKAGED FOODS, PERSONAL CARE","CLEANING SUPPLIES, HOUSEHOLD ITEMS",0.01093392405876067,0.21615740320971982,4.996322667617691
"CLEANING SUPPLIES, HOUSEHOLD ITEMS","CANNED AND PACKAGED FOODS, PERSONAL CARE",0.01093392405876067,0.25272977843740063,4.996322667617691
"FOOD STAPLES, TEA AND SPICES","CANNED AND PACKAGED FOODS, CLEANING SUPPLIES, COOKING OIL",0.010677086916440788,0.10602058475270973,4.995982329311989
"CANNED AND PACKAGED FOODS, CLEANING SUPPLIES, COOKING OIL","FOOD STAPLES, TEA AND SPICES",0.010677086916440788,0.5031337799870327,4.995982329311988
"CANNED AND PACKAGED FOODS, CLEANING SUPPLIES","FOOD STAPLES, PERSONAL CARE",0.017171397515100648,0.3162162162162162,4.973442626786058
"FOOD STAPLES, PERSONAL CARE","CANNED AND PACKAGED FOODS, CLEANING SUPPLIES",0.017171397515100648,0.27007141311404453,4.973442626786058
"BISCUITS AND COOKIES, CLEANING SUPPLIES","FOOD STAPLES, PERSONAL CARE",0.012130968597072973,0.3159340659340659,4.969004972521527
"FOOD STAPLES, PERSONAL CARE","BISCUITS AND COOKIES, CLEANING SUPPLIES",0.012130968597072973,0.19079564307869867,4.969004972521526
"FOOD STAPLES, PERSONAL CARE","CLEANING SUPPLIES, HOUSEHOLD ITEMS",0.013594023032788014,0.21380653538195196,4.941984051211137
"CLEANING SUPPLIES, HOUSEHOLD ITEMS","FOOD STAPLES, PERSONAL CARE",0.013594023032788014,0.3142160500371038,4.941984051211137
"CANNED AND PACKAGED FOODS, TEA AND SPICES","CLEANING SUPPLIES, COOKING OIL, FOOD STAPLES",0.010677086916440788,0.17418630751964087,4.898627619329284
"CLEANING SUPPLIES, COOKING OIL, FOOD STAPLES","CANNED AND PACKAGED FOODS, TEA AND SPICES",0.010677086916440788,0.30027086289178384,4.898627619329283
"HOUSEHOLD ITEMS, PERSONAL CARE","CLEANING SUPPLIES, FOOD STAPLES",0.013594023032788014,0.40586060523072715,4.780026402133207
"CLEANING SUPPLIES, FOOD STAPLES","HOUSEHOLD ITEMS, PERSONAL CARE",0.013594023032788014,0.16010371090584996,4.780026402133207
"CLEANING SUPPLIES, COOKING OIL","FOOD STAPLES, PERSONAL CARE",0.013323426757843853,0.30279341254951014,4.762329026333228
"FOOD STAPLES, PERSONAL CARE","CLEANING SUPPLIES, COOKING OIL",0.013323426757843853,0.20955060232272957,4.762329026333227
"COOKING OIL, TEA AND SPICES","CANNED AND PACKAGED FOODS, CLEANING SUPPLIES",0.011296247884533359,0.25243414984113965,4.648647358860859
"CANNED AND PACKAGED FOODS, CLEANING SUPPLIES","COOKING OIL, TEA AND SPICES",0.011296247884533359,0.20802364864864864,4.648647358860859
"CANNED AND PACKAGED FOODS, HOUSEHOLD ITEMS","FOOD STAPLES, PERSONAL CARE",0.013117039768479662,0.2942992385264458,4.62873281905725
"FOOD STAPLES, PERSONAL CARE","CANNED AND PACKAGED FOODS, HOUSEHOLD ITEMS",0.013117039768479662,0.20630455168433962,4.62873281905725
"CLEANING SUPPLIES, FOOD STAPLES","CANNED AND PACKAGED FOODS, HOUSEHOLD ITEMS",0.017382370882006264,0.2047210068600443,4.593203763402292
"CANNED AND PACKAGED FOODS, HOUSEHOLD ITEMS","CLEANING SUPPLIES, FOOD STAPLES",0.017382370882006264,0.3899979419633669,4.593203763402292
"FOOD STAPLES, HOUSEHOLD ITEMS, PERSONAL CARE",CLEANING SUPPLIES,0.013594023032788014,0.6515717740162673,4.591092130661352
CLEANING SUPPLIES,"FOOD STAPLES, HOUSEHOLD ITEMS, PERSONAL CARE",0.013594023032788014,0.09578593588417787,4.591092130661352
CLEANING SUPPLIES,"COOKING OIL, FOOD STAPLES, HOUSEHOLD ITEMS",0.013075762370606824,0.0921341778697001,4.570798575694153
"COOKING OIL, FOOD STAPLES, HOUSEHOLD ITEMS",CLEANING SUPPLIES,0.013075762370606824,0.6486916951080773,4.570798575694153
CLEANING SUPPLIES,"COOKING OIL, FOOD STAPLES, PERSONAL CARE",0.013323426757843853,0.09387926577042399,4.54971181835651
"COOKING OIL, FOOD STAPLES, PERSONAL CARE",CLEANING SUPPLIES,0.013323426757843853,0.6456990442320516,4.549711818356509
"CANNED AND PACKAGED FOODS, PERSONAL CARE","FOOD STAPLES, HOUSEHOLD ITEMS",0.013117039768479662,0.25931634781031826,4.532672641295363
"FOOD STAPLES, HOUSEHOLD ITEMS","CANNED AND PACKAGED FOODS, PERSONAL CARE",0.013117039768479662,0.2292768959435626,4.532672641295362
"BISCUITS AND COOKIES, PERSONAL CARE","CLEANING SUPPLIES, FOOD STAPLES",0.012130968597072973,0.38261246926081294,4.506221301799809
"CLEANING SUPPLIES, FOOD STAPLES","BISCUITS AND COOKIES, PERSONAL CARE",0.012130968597072973,0.14287257602765624,4.506221301799809
"CLEANING SUPPLIES, FOOD STAPLES","COOKING OIL, TEA AND SPICES",0.017015460678692147,0.20039971911629664,4.478277498919747
"COOKING OIL, TEA AND SPICES","CLEANING SUPPLIES, FOOD STAPLES",0.017015460678692147,0.38023982781592697,4.478277498919747
"COOKING OIL, FOOD STAPLES","CLEANING SUPPLIES, TEA AND SPICES",0.017015460678692147,0.17115704004428858,4.473039379136587
"CLEANING SUPPLIES, TEA AND SPICES","COOKING OIL, FOOD STAPLES",0.017015460678692147,0.4446841663670142,4.473039379136587
"CANNED AND PACKAGED FOODS, HOUSEHOLD ITEMS, PERSONAL CARE",CLEANING SUPPLIES,0.01093392405876067,0.6295220491153948,4.4357257957269045
CLEANING SUPPLIES,"CANNED AND PACKAGED FOODS, HOUSEHOLD ITEMS, PERSONAL CARE",0.01093392405876067,0.07704239917269906,4.435725795726904
"BISCUITS AND COOKIES, TEA AND SPICES","CLEANING SUPPLIES, FOOD STAPLES",0.012539156198259929,0.3751372118551043,4.418181400164824
"CLEANING SUPPLIES, FOOD STAPLES","BISCUITS AND COOKIES, TEA AND SPICES",0.012539156198259929,0.1476800086425755,4.418181400164824
CLEANING SUPPLIES,"CANNED AND PACKAGED FOODS, HOUSEHOLD ITEMS, TEA AND SPICES",0.010250553805088127,0.07222724922440538,4.400171204007174
"CANNED AND PACKAGED FOODS, HOUSEHOLD ITEMS, TEA AND SPICES",CLEANING SUPPLIES,0.010250553805088127,0.6244761106454316,4.400171204007173
CLEANING SUPPLIES,"BISCUITS AND COOKIES, FOOD STAPLES, HOUSEHOLD ITEMS",0.011878717832294518,0.08369958634953464,4.351360684047087
"BISCUITS AND COOKIES, FOOD STAPLES, HOUSEHOLD ITEMS",CLEANING SUPPLIES,0.011878717832294518,0.6175488793514544,4.351360684047087
"CLEANING SUPPLIES, FOOD STAPLES","CANNED AND PACKAGED FOODS, COOKING OIL",0.01885459807280416,0.22206017393183172,4.338470801395591
"CANNED AND PACKAGED FOODS, COOKING OIL","CLEANING SUPPLIES, FOOD STAPLES",0.01885459807280416,0.3683691756272402,4.338470801395591
"COOKING OIL, HOUSEHOLD ITEMS",CLEANING SUPPLIES,0.015185496039662993,0.6117886178861789,4.310772843783893
CLEANING SUPPLIES,"COOKING OIL, HOUSEHOLD ITEMS",0.015185496039662993,0.10699974146845914,4.310772843783893
"FOOD STAPLES, TEA AND SPICES","COOKING OIL, HOUSEHOLD ITEMS",0.010773400844810743,0.1069769560069223,4.309854870081544
"COOKING OIL, HOUSEHOLD ITEMS","FOOD STAPLES, TEA AND SPICES",0.010773400844810743,0.43403547671840353,4.309854870081544
